influence.1.1		influence.1.2		influence.1.3		influence.1.4		influence.1.5		influence.2.1		influence.2.2		influence.2.3		influence.2.4		influence.2.5		influence.3.1		influence.3.2		influence.3.3		influence.3.4		influence.3.5		influence.4.1		influence.4.2		influence.4.3		influence.4.4		influence.4.5		influence.5.1		influence.5.2		influence.5.3		influence.5.4		influence.5.5		
0.000000000000000000e+00 1.862139943684059079e-04 1.605430310600307164e+00 3.627860770551798349e-15 8.107321563905150877e-14 5.339564743500232469e-01 0.000000000000000000e+00 1.608122832344037745e+00 4.054090500878645975e-02 2.543064001206718832e-07 2.667314613546049706e+00 9.173588461946549089e-01 0.000000000000000000e+00 1.946139563548426237e-06 7.127440927104853469e-03 2.129996556812287917e-02 5.853631230075456319e-15 3.701707869870662360e-01 0.000000000000000000e+00 9.739899819129353986e+00 7.698921574583912652e-08 2.879307574767454050e-06 7.148001799349247212e-06 8.883735062589153131e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.894206934304767984e-04 1.743983215585594326e+00 1.529869445480833608e-14 1.629968865659087434e-14 3.226217345116066393e-01 0.000000000000000000e+00 1.484394762960227210e+00 6.505014345851932965e-03 2.040499541493879623e-06 2.251983442089058318e+00 1.014260080658758501e+00 0.000000000000000000e+00 3.116244889412882409e-06 4.286171806822483034e-03 3.180026157714442581e-02 4.835268468605609126e-15 3.164386915522214294e-01 0.000000000000000000e+00 9.784658141450666591e+00 1.546526840905741003e-07 1.835467747810483095e-06 4.568283667519965676e-06 9.905479386448064361e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.100466213440112155e-05 1.686283725596362082e+00 1.558515938418905367e-14 4.594199071341029062e-14 4.502842469126703828e-01 0.000000000000000000e+00 7.797941931483629574e-01 2.456947330030120891e-02 1.292801474167591169e-06 1.807940146330989872e+00 9.467355957735886784e-01 0.000000000000000000e+00 1.046004421233848403e-04 1.742270200270392908e-02 3.788630717115005347e-02 2.334360934964728412e-16 3.728987410114561474e-01 0.000000000000000000e+00 9.990976562555962559e+00 6.882914798093489769e-08 2.206640124235598871e-06 7.281088752183432090e-06 8.973284228177686117e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.210706333614569271e-04 1.261130866602548917e+00 2.119210167235943352e-14 2.701010084635157815e-15 6.074809781073842174e-01 0.000000000000000000e+00 1.134048153423608207e+00 2.655089502315596817e-02 3.243177728962592194e-06 2.652959304170027011e+00 1.072536138705010300e+00 0.000000000000000000e+00 3.480225418140149010e-04 4.288426760081318762e-03 6.913654964913680534e-02 1.360158280415672023e-15 3.729551045768054185e-01 0.000000000000000000e+00 9.686646180931083094e+00 9.521066148909808477e-08 3.177839522513119317e-06 1.537173385496255884e-05 9.671610764472289290e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.429344186805668413e-05 1.823767317058275106e+00 2.688995178535763277e-14 3.207622800868382950e-15 7.155209876670558522e-01 0.000000000000000000e+00 7.843883815123153802e-01 3.172431497465519334e-02 8.805016620019694278e-07 2.193879126107916466e+00 9.927631615381800056e-01 0.000000000000000000e+00 4.693064651223376811e-04 4.646763207036474163e-04 1.881871482358699749e-02 4.699251140656076465e-15 4.220176252298828978e-01 0.000000000000000000e+00 9.981200514116093103e+00 1.733614383466715936e-07 1.045238728751617533e-05 1.480064792028606292e-05 9.638891628492421759e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.723234900327012641e-05 1.586785001824899233e+00 2.767167361611855703e-14 3.748085074480666508e-14 3.608013730037173405e-01 0.000000000000000000e+00 1.522610023053232453e+00 7.318774789950897863e-02 6.185617595236442571e-06 2.556893305938783278e+00 9.298718964198792181e-01 0.000000000000000000e+00 3.800521755063188687e-04 2.334990264338281628e-03 1.447241427402642770e-02 3.889362469734145301e-15 3.304077972180371470e-01 0.000000000000000000e+00 9.569505502937337482e+00 5.661699672886388443e-07 1.177396982342605054e-05 7.717875643413915453e-06 9.577238191991114036e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.633298446856076814e-04 2.041567423988269958e+00 5.944858686444760457e-14 6.977065596159750403e-14 3.832711868439650504e-01 0.000000000000000000e+00 1.509739131579272309e+00 4.053843178813271858e-02 6.162843035435685199e-07 2.607093455100887525e+00 9.411593322430125141e-01 0.000000000000000000e+00 2.918657481677098446e-04 4.723126832963198823e-02 1.295538207580012105e-02 3.654447453089724917e-15 8.901923412125502255e-02 0.000000000000000000e+00 9.749758766145527389e+00 6.896689344904375874e-07 6.513319652058396246e-07 1.926195288613830519e-06 9.938975483131898159e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.065136744702436100e-04 1.400455606430089261e+00 1.506519860983030082e-14 3.683020856592182699e-14 8.919485093695493916e-01 0.000000000000000000e+00 3.667455635801740721e-01 5.589126615311117152e-02 3.026588380302048294e-07 2.356026136741351085e+00 9.237841774325634692e-01 0.000000000000000000e+00 2.744661490241308830e-04 7.454462160949661131e-02 1.845458025930428111e-02 4.265867099154478139e-15 1.662671120949261727e-01 0.000000000000000000e+00 9.330019110925775294e+00 7.058272059618766260e-07 7.824104775889997250e-06 4.251797316188511418e-07 9.280914690843612647e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.999010574849803955e-04 1.609149497404813722e+00 1.614102052634696189e-15 2.306681935700946114e-14 8.886567982991639969e-01 0.000000000000000000e+00 4.894014688103736632e-01 2.730354635170612228e-03 3.928215936500051440e-08 2.357065561252906782e+00 9.241391586160111471e-01 0.000000000000000000e+00 1.136019277391243270e-03 8.780700697074249328e-02 2.196196125179896699e-04 6.216056343776010125e-13 9.793451656867006860e-02 0.000000000000000000e+00 9.730802189504537125e+00 2.366523427864245168e-06 4.919322239693779649e-07 1.966927535756043930e-07 9.884364324450196193e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.865902172184856988e-04 1.812027256374290296e+00 1.049225142469353719e-15 1.806251845877471333e-13 8.102323769968657885e-01 0.000000000000000000e+00 1.272259162171625269e+00 9.591972918362164785e-03 5.934603596433469082e-08 2.782807204276453561e+00 8.859998806622398915e-01 0.000000000000000000e+00 1.726453309563268871e-03 2.923845445237842344e-02 3.345828296178671386e-06 2.586004361133992105e-14 2.014324741481492154e-01 0.000000000000000000e+00 9.602199492873239706e+00 4.123061996801157812e-06 6.525148956982389373e-07 7.800679067569815897e-07 9.529682967342896660e+00 0.000000000000000000e+00
