word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	
9.959443676452140792e+00 9.951739228577826779e+00 9.970500913879087435e+00 9.111392815543938539e+00 8.036987032714849377e+00
9.928975297903273045e+00 9.959944976075835399e+00 9.918958208633521068e+00 9.311987998657006216e+00 8.678105261997105302e+00
9.987117252632907949e+00 9.988710785204702347e+00 9.853851689608093878e+00 9.819083252675980589e+00 9.818284619465170948e+00
9.998543878218937309e+00 9.984670838262442061e+00 9.931239512484614451e+00 8.470592039813750418e+00 9.176119607173427895e+00
9.958107261810706490e+00 9.965389324517449410e+00 9.997267086295153149e+00 9.257008845368737582e+00 6.853086036957395599e+00
9.957657179215036791e+00 9.980377121637323157e+00 9.991307977095580384e+00 9.063046126742843711e+00 8.946262015683750235e+00
9.905064978951038768e+00 9.821555422821086623e+00 9.979981641235971423e+00 9.265898602353358271e+00 9.233255490207897154e+00
9.904895630624880098e+00 9.777578183147360491e+00 9.999528005055580593e+00 6.414485011495213662e+00 9.423812488294743162e+00
9.848376473065901138e+00 9.839951285078200272e+00 9.961376162372269860e+00 5.734977196972608660e+00 7.567450495335497962e+00
9.923803810965607042e+00 9.629175679996224702e+00 9.977008783889202093e+00 6.510889081733177264e+00 5.516821787611993599e+00
9.981736952050743739e+00 9.837492979340446198e+00 9.957120729918560897e+00 8.826088459726324942e+00 9.466669217147043014e+00
9.982806921678866630e+00 9.766941251377437183e+00 9.977711218820557448e+00 8.573525950513554150e+00 8.435668429465360774e+00
9.991365142821422296e+00 9.921614257814775684e+00 9.962134626083104294e+00 8.496157549172531631e+00 9.166091044259420784e+00
9.993256848008387649e+00 9.753513082342742280e+00 9.943808841134108789e+00 9.967722203105889633e+00 9.375841187157696766e+00
9.946391423177608715e+00 9.586477160372867345e+00 9.929237849284438866e+00 6.356983145054703854e+00 8.720820790080558993e+00
9.975937914546380014e+00 9.906738955177315731e+00 9.931001674636078747e+00 6.256166154639224430e+00 7.602894205720431842e+00
9.951864990406996014e+00 9.887962677007667622e+00 9.931729787020740829e+00 7.824026943996690520e+00 9.805656033634644331e+00
