log.prior	log.likelihood	log.likelihood.test.set
-1.137030849611097665e+03 -1.725086895161184293e+04 -6.828918653130083385e+02
-1.134832172908435268e+03 -1.724968714204229036e+04 -6.844309597687947644e+02
-1.135878338498984249e+03 -1.724667906807933832e+04 -6.822361902238919811e+02
-1.146677849986701858e+03 -1.724370961733178046e+04 -6.830750830347624287e+02
-1.143406281628787610e+03 -1.725911336264504280e+04 -6.858957265742286609e+02
-1.149599008727606588e+03 -1.726110180299286367e+04 -6.850035460046420894e+02
-1.146492785797782290e+03 -1.726241871751807048e+04 -6.848605678366961911e+02
-1.144364235400575353e+03 -1.726949753003115984e+04 -6.861221425701387489e+02
-1.139212835068551840e+03 -1.727451617659277690e+04 -6.873777767604526616e+02
-1.145521603501049640e+03 -1.728011969672681153e+04 -6.855520587748487742e+02
-1.173889934220485429e+03 -1.726541489140155682e+04 -6.856281871321664312e+02
-1.164383564021190978e+03 -1.725537888785174073e+04 -6.861961701983552757e+02
-1.184380339076018572e+03 -1.724202156936434403e+04 -6.836334822427811559e+02
-1.177867033243227070e+03 -1.724628503523844120e+04 -6.813361175408563213e+02
-1.169669868567034882e+03 -1.724519600412348882e+04 -6.831737153572364605e+02
-1.195792948573722470e+03 -1.723628557417099728e+04 -6.816554236024726379e+02
-1.199106906277899043e+03 -1.722733996057749391e+04 -6.802913465014379426e+02
-1.182033838771472574e+03 -1.723934087856038241e+04 -6.810323318789894529e+02
-1.175417381559374917e+03 -1.725106864570199832e+04 -6.800629717775841527e+02
-1.168105927796814285e+03 -1.726135222682706808e+04 -6.823316340641674742e+02
-1.164706619365385450e+03 -1.726259539836677868e+04 -6.822363887470553436e+02
-1.168340832553375549e+03 -1.725783905519414839e+04 -6.821486860134897370e+02
-1.160524873716697584e+03 -1.725531959018432099e+04 -6.816567862111232898e+02
-1.172551490132957269e+03 -1.725203950146685747e+04 -6.816524334119778814e+02
-1.170444188518909641e+03 -1.724793001889289371e+04 -6.817418392391651878e+02
-1.157809083187022225e+03 -1.725819863644216821e+04 -6.815892813367166809e+02
-1.144774773278159046e+03 -1.726710820534398590e+04 -6.827600430977391852e+02
-1.134851052028971026e+03 -1.727350464549259414e+04 -6.832460103491155223e+02
-1.151177811591300724e+03 -1.725470189579297949e+04 -6.837854486602069528e+02
-1.165645260155971528e+03 -1.724367791048365689e+04 -6.828578338296858874e+02
-1.181684447776415936e+03 -1.724744476908764045e+04 -6.844565463403921513e+02
-1.176172302858235298e+03 -1.724004556862681784e+04 -6.832215072102733302e+02
-1.194165034232936705e+03 -1.724306702223860339e+04 -6.845804969508959630e+02
-1.187940066397736928e+03 -1.724785759403664633e+04 -6.851060494355526771e+02
-1.210840018683150902e+03 -1.723246282322716070e+04 -6.842621435185399150e+02
-1.201885661496542525e+03 -1.724152985476634785e+04 -6.837146923544707988e+02
-1.183018789447917015e+03 -1.723814511068108186e+04 -6.833333198805468101e+02
-1.204316982527203663e+03 -1.722732587450303981e+04 -6.832600299052382979e+02
-1.211392754507203790e+03 -1.722802095345142516e+04 -6.851994847043745267e+02
-1.189532844919430090e+03 -1.724475553762204800e+04 -6.868015805201821422e+02
-1.191060715664939380e+03 -1.724034853865676996e+04 -6.867056323324555933e+02
-1.192885137679386617e+03 -1.723420714721093100e+04 -6.845821858962800661e+02
-1.192018346714679865e+03 -1.723969403410683663e+04 -6.853156972508752460e+02
-1.188740068144534916e+03 -1.723551669668961404e+04 -6.840198109588455964e+02
-1.177924212478808840e+03 -1.723699449010865283e+04 -6.829583592779706578e+02
-1.192519423602845109e+03 -1.723012131557878820e+04 -6.820881868892927287e+02
-1.194545452662234993e+03 -1.723531944831718647e+04 -6.849648978829803809e+02
-1.192644282823845970e+03 -1.724415177299033530e+04 -6.851871013692136785e+02
-1.181869891162544718e+03 -1.725268913489598708e+04 -6.860102594065258472e+02
-1.170968940290140154e+03 -1.725818708457972025e+04 -6.878845559779197174e+02
-1.157948767542314954e+03 -1.725950066055824573e+04 -6.866057213743054035e+02
-1.150332427133228748e+03 -1.725471842458270112e+04 -6.870065780048050783e+02
-1.158872492060341074e+03 -1.724469431477929902e+04 -6.854719207549471776e+02
-1.153355038608321365e+03 -1.725139272349416569e+04 -6.848896164830418911e+02
-1.153791099837919774e+03 -1.725269274657633287e+04 -6.853217649477322766e+02
-1.150777074817197445e+03 -1.724982554689982499e+04 -6.834424051252021854e+02
-1.161326209789093582e+03 -1.724242064911503985e+04 -6.828657187886446991e+02
-1.186539938242839071e+03 -1.722586704381080199e+04 -6.822573854512419302e+02
-1.200212118371968472e+03 -1.721862974276709429e+04 -6.822614325704332714e+02
-1.183334072672308366e+03 -1.722932198518144651e+04 -6.828885610356880989e+02
-1.178775448857611991e+03 -1.722155172369175853e+04 -6.826307277804429532e+02
-1.178229404364647280e+03 -1.721273385686861729e+04 -6.829333520994016453e+02
-1.174570082890908679e+03 -1.721591443698689545e+04 -6.832466391222878883e+02
-1.170530881587993917e+03 -1.723098981807167365e+04 -6.843803066703733293e+02
-1.156030121928617746e+03 -1.723499181115612373e+04 -6.845872102520789895e+02
-1.157251158573737939e+03 -1.723882530662992576e+04 -6.851863631263037178e+02
-1.160840215689490378e+03 -1.723035205285522898e+04 -6.852440757727736127e+02
-1.157779443484732383e+03 -1.724501010877381123e+04 -6.872371516079974754e+02
-1.168324753726054269e+03 -1.723237181829286055e+04 -6.855033550021456676e+02
-1.161544306962175142e+03 -1.722947809879939814e+04 -6.840100563438902554e+02
-1.154222556069549228e+03 -1.724291306129147779e+04 -6.818390978501956852e+02
-1.160064064495131333e+03 -1.723492008318735679e+04 -6.817856129364270146e+02
-1.139835560484723146e+03 -1.725421124358719680e+04 -6.827869426938019615e+02
-1.146092740116263940e+03 -1.724304398237413989e+04 -6.826569602897892537e+02
-1.151274246702064829e+03 -1.722957280510450437e+04 -6.818609563512694649e+02
-1.151384776002308627e+03 -1.722855094397388893e+04 -6.806851891659296143e+02
-1.132263984787219442e+03 -1.724929086653399645e+04 -6.830020086820450160e+02
-1.134383409044475457e+03 -1.725201506970234186e+04 -6.825259970997423125e+02
-1.142589297235844924e+03 -1.724538499468976079e+04 -6.829131337856906612e+02
-1.143532342984078014e+03 -1.723951426908508074e+04 -6.846853482756988569e+02
-1.149686970741147661e+03 -1.723684985314151709e+04 -6.845447260917794665e+02
-1.158836626866687993e+03 -1.722637587808274839e+04 -6.853721881130734346e+02
-1.154481506940685676e+03 -1.722183817486585031e+04 -6.857216291972288218e+02
-1.155384143373712959e+03 -1.723575916237313140e+04 -6.872929218537908582e+02
-1.155960246982327362e+03 -1.723823766683505892e+04 -6.859953168961274059e+02
-1.163805360829064966e+03 -1.724610623115607086e+04 -6.858795060451602694e+02
-1.157374216425340819e+03 -1.725134706716993605e+04 -6.866917315146249621e+02
-1.160513510938834088e+03 -1.725011446498355872e+04 -6.871071887461914685e+02
-1.148516096914996524e+03 -1.725076846938417293e+04 -6.846090162334921843e+02
-1.149155301429963629e+03 -1.725090358060636208e+04 -6.860304794127208652e+02
-1.154510911460199623e+03 -1.724387876427037918e+04 -6.854681861689762172e+02
-1.138520985812330082e+03 -1.725264363848570065e+04 -6.854687018324034398e+02
-1.143091610102010691e+03 -1.724782485675374483e+04 -6.849007544072928795e+02
-1.144833279811259672e+03 -1.725181102238693347e+04 -6.837399725507818857e+02
-1.134497499664602401e+03 -1.726285190508458982e+04 -6.845966829577935187e+02
-1.145438435713242598e+03 -1.724954544408089350e+04 -6.841133859853326840e+02
-1.153117095277803628e+03 -1.724711496851655829e+04 -6.855063822416714174e+02
-1.138896858745489226e+03 -1.725120943434599758e+04 -6.862497139282219223e+02
-1.145746914531187713e+03 -1.724259020904144927e+04 -6.861827400727900113e+02
-1.159115265813057022e+03 -1.724310841715740753e+04 -6.860525182855510593e+02
-1.177459350649135104e+03 -1.723577476092848156e+04 -6.846357654416954119e+02
-1.181828345526220346e+03 -1.724145441636967371e+04 -6.846280610253356826e+02
-1.189510338143068111e+03 -1.722870966996220886e+04 -6.850028606600025114e+02
-1.161443760331964086e+03 -1.725593696002145589e+04 -6.854777084593795280e+02
-1.176737014361806359e+03 -1.724940352416367386e+04 -6.853794126368406978e+02
-1.184619418288082670e+03 -1.724003664050031512e+04 -6.856846077597446083e+02
-1.168003685065562195e+03 -1.724951395794330892e+04 -6.862250792524497456e+02
-1.175576016250327484e+03 -1.724484562475163693e+04 -6.857091644087815894e+02
-1.156881382194294247e+03 -1.726092629377108096e+04 -6.870178992475296127e+02
-1.152584920199490398e+03 -1.726972898637716207e+04 -6.864239008278184428e+02
-1.150836837623495967e+03 -1.727072885156636403e+04 -6.865071089457136395e+02
-1.143637935622715077e+03 -1.726935883162018945e+04 -6.852917330286682045e+02
-1.147846317247733396e+03 -1.727601376994705424e+04 -6.867497031710064448e+02
-1.151310249587236058e+03 -1.728557599317441782e+04 -6.880450221206084507e+02
-1.159855105149522842e+03 -1.728054035403931630e+04 -6.870790895637525182e+02
-1.169166779833618875e+03 -1.727040219731547040e+04 -6.860546146438073265e+02
-1.166583138773429255e+03 -1.726569631155822935e+04 -6.859781659685440900e+02
-1.163108756727550372e+03 -1.726338189222918299e+04 -6.839616735772935954e+02
-1.161572139155698096e+03 -1.726361157953842849e+04 -6.850730022809084403e+02
-1.156318349104024037e+03 -1.726831858627596012e+04 -6.866674509310286112e+02
-1.142247724460954032e+03 -1.727052313968618910e+04 -6.860565200634572420e+02
-1.154775191007217018e+03 -1.726968591666769498e+04 -6.859069675945421523e+02
-1.164347049527108311e+03 -1.726339992671240907e+04 -6.852855442348375163e+02
-1.165714840315479478e+03 -1.725968748927632987e+04 -6.839002467124468012e+02
-1.175297246570189600e+03 -1.725187176223934875e+04 -6.840545029931238332e+02
-1.174429052789323123e+03 -1.725438154178250625e+04 -6.844949951354432187e+02
-1.158823479254084987e+03 -1.725255845092746677e+04 -6.863396764747710677e+02
-1.160167903438689336e+03 -1.725421685352822533e+04 -6.864084982611329906e+02
-1.148111796447342158e+03 -1.726131331704555851e+04 -6.873955770975287578e+02
-1.144075338161054106e+03 -1.725328521483043005e+04 -6.869953288515916938e+02
-1.151065617913266806e+03 -1.724773381232701286e+04 -6.864754404235244465e+02
-1.174846090300045944e+03 -1.724138349651501267e+04 -6.851045489601527834e+02
-1.150985860164203359e+03 -1.724242555387808170e+04 -6.844744964355835464e+02
-1.138377122100231418e+03 -1.724970543683720825e+04 -6.846132603792993905e+02
-1.139664955580205060e+03 -1.726492766198094250e+04 -6.849724549640507121e+02
-1.135276032559648456e+03 -1.725413877316265280e+04 -6.818926697054623673e+02
-1.144939306850865933e+03 -1.724495829126672106e+04 -6.833519783679224702e+02
-1.157965059587392716e+03 -1.723907269490864928e+04 -6.827111815756089754e+02
-1.140204122200205120e+03 -1.725101057465922713e+04 -6.843247521596410934e+02
-1.150310612144886136e+03 -1.724538115893445502e+04 -6.843314393176491421e+02
-1.142744922668079425e+03 -1.725053670606828018e+04 -6.850929433208256114e+02
-1.142085098797545925e+03 -1.725434743074318976e+04 -6.864153772902827768e+02
-1.130224260174933306e+03 -1.725885594125477292e+04 -6.868234233739162846e+02
-1.124126590655542486e+03 -1.726195831410434039e+04 -6.863057594934583676e+02
-1.133361418914082833e+03 -1.725106199587959782e+04 -6.861697029994045351e+02
-1.133742497045391474e+03 -1.724261700879482669e+04 -6.856813808564669444e+02
-1.138157275684066690e+03 -1.724726755321031305e+04 -6.853665277717108211e+02
-1.146932286795700065e+03 -1.724289742841384577e+04 -6.866254537422108797e+02
