word.1	word.2	word.3	word.4	word.5	word.6	word.7	word.8	word.9	word.10	word.11	word.12	word.13	word.14	word.15	word.16	word.17	word.18	word.19	word.20	word.21	word.22	word.23	word.24	word.25	word.26	word.27	word.28	word.29	word.30	word.31	word.32	word.33	word.34	word.35	word.36	word.37	word.38	word.39	word.40	word.41	word.42	word.43	word.44	word.45	word.46	word.47	word.48	word.49	word.50	word.51	word.52	word.53	word.54	word.55	word.56	word.57	word.58	word.59	word.60	word.61	word.62	word.63	word.64	word.65	word.66	word.67	word.68	word.69	word.70	word.71	word.72	word.73	word.74	word.75	word.76	word.77	word.78	word.79	word.80	word.81	word.82	word.83	word.84	word.85	word.86	word.87	word.88	word.89	word.90	
0.0347695 0.0338541 0.0172110 0.0134046 0.0156648 0.0093682 0.0275199 0.0247382 0.0105655 0.0097476 0.0094619 0.0078078 0.0128630 0.0216198 0.0247927 0.0094304 0.0093821 0.0101347 0.0098659 0.0090104 0.0101412 0.0256811 0.0074056 0.0120872 0.0103005 0.0188691 0.0108508 0.0156916 0.0101544 0.0086671 0.0089036 0.0073499 0.0121022 0.0091499 0.0078753 0.0082165 0.0094407 0.0255414 0.0080216 0.0074787 0.0089531 0.0080810 0.0102458 0.0091407 0.0078653 0.0084223 0.0094876 0.0080007 0.0075311 0.0088962 0.0095757 0.0093513 0.0088431 0.0086731 0.0078704 0.0094395 0.0078137 0.0179951 0.0071480 0.0098034 0.0093436 0.0093543 0.0080574 0.0080768 0.0081200 0.0146525 0.0071579 0.0076475 0.0073620 0.0087621 0.0072708 0.0101091 0.0088164 0.0082435 0.0072787 0.0165430 0.0097861 0.0085413 0.0089321 0.0086714 0.0072847 0.0087749 0.0068836 0.0069501 0.0086736 0.0094702 0.0073950 0.0072917 0.0074920 0.0087796
0.0803200 0.0633147 0.0199469 0.0109180 0.0217702 0.0109954 0.0183388 0.0100149 0.0157390 0.0134037 0.0145032 0.0109021 0.0183805 0.0085332 0.0097002 0.0093632 0.0086510 0.0130412 0.0078279 0.0103870 0.0140421 0.0094442 0.0107823 0.0093708 0.0180052 0.0100455 0.0113210 0.0117032 0.0125969 0.0076677 0.0143683 0.0080611 0.0091077 0.0113782 0.0055567 0.0056053 0.0091393 0.0066270 0.0075172 0.0076958 0.0063291 0.0064141 0.0097873 0.0154127 0.0074870 0.0068488 0.0084823 0.0104368 0.0100937 0.0097481 0.0111596 0.0111536 0.0094091 0.0147653 0.0084774 0.0062136 0.0078431 0.0081932 0.0068988 0.0109298 0.0078544 0.0108205 0.0062823 0.0057042 0.0086309 0.0075615 0.0078251 0.0081382 0.0061762 0.0060016 0.0071213 0.0090151 0.0099397 0.0116839 0.0071925 0.0086990 0.0109827 0.0085379 0.0102942 0.0093056 0.0078773 0.0061981 0.0065879 0.0064222 0.0084965 0.0078745 0.0069535 0.0057141 0.0082104 0.0057287
0.0455250 0.0446366 0.0194619 0.0126948 0.0147838 0.0095148 0.0260672 0.0234099 0.0106172 0.0098671 0.0102376 0.0073890 0.0127706 0.0204786 0.0234839 0.0102214 0.0088869 0.0115020 0.0093451 0.0085234 0.0095786 0.0243141 0.0076580 0.0114355 0.0110139 0.0178617 0.0115532 0.0148633 0.0102388 0.0082096 0.0084089 0.0076074 0.0114519 0.0092874 0.0074596 0.0077828 0.0089424 0.0241931 0.0075981 0.0070839 0.0084805 0.0076544 0.0103369 0.0086538 0.0074479 0.0079777 0.0096323 0.0082194 0.0077790 0.0084130 0.0103384 0.0094917 0.0083649 0.0081906 0.0081005 0.0089412 0.0074013 0.0170451 0.0067706 0.0099200 0.0088276 0.0088491 0.0076321 0.0076505 0.0076891 0.0138791 0.0087144 0.0072438 0.0069734 0.0082996 0.0068870 0.0095755 0.0102647 0.0084402 0.0068945 0.0156697 0.0092582 0.0087359 0.0090947 0.0088478 0.0075457 0.0083117 0.0065203 0.0065832 0.0082135 0.0089589 0.0070024 0.0069068 0.0070965 0.0083162
0.0936761 0.1053177 0.0280136 0.0126686 0.0147371 0.0160495 0.0057764 0.0133039 0.0172189 0.0108962 0.0120726 0.0104760 0.0173204 0.0114380 0.0118975 0.0096402 0.0095254 0.0160397 0.0091967 0.0080748 0.0110570 0.0087157 0.0088739 0.0107567 0.0139352 0.0083567 0.0144847 0.0081626 0.0107780 0.0072899 0.0104795 0.0081910 0.0101335 0.0109262 0.0043626 0.0043962 0.0079851 0.0054003 0.0073731 0.0054609 0.0082717 0.0067913 0.0110288 0.0064917 0.0084645 0.0046972 0.0087372 0.0091747 0.0082328 0.0102928 0.0121077 0.0100804 0.0070867 0.0080391 0.0079859 0.0061899 0.0049150 0.0070598 0.0071338 0.0101643 0.0088993 0.0062582 0.0089715 0.0072134 0.0096458 0.0077247 0.0112891 0.0060228 0.0053961 0.0062004 0.0050408 0.0070265 0.0133086 0.0085390 0.0062261 0.0068753 0.0093242 0.0085634 0.0096145 0.0081889 0.0071976 0.0059843 0.0050622 0.0049806 0.0069170 0.0085373 0.0085587 0.0083954 0.0049265 0.0057081
0.0471078 0.0465678 0.0202123 0.0130478 0.0154210 0.0098843 0.0259243 0.0233899 0.0108195 0.0097414 0.0100900 0.0076698 0.0126837 0.0205132 0.0234882 0.0105731 0.0090389 0.0113079 0.0092504 0.0084244 0.0095724 0.0240552 0.0076858 0.0114256 0.0108384 0.0176682 0.0113922 0.0147128 0.0100942 0.0081265 0.0084174 0.0075172 0.0113233 0.0091524 0.0073841 0.0077040 0.0088518 0.0239482 0.0076422 0.0070122 0.0083946 0.0075769 0.0104459 0.0085613 0.0073701 0.0078969 0.0095215 0.0083601 0.0078081 0.0084337 0.0103030 0.0093698 0.0082675 0.0080803 0.0080052 0.0088507 0.0073263 0.0168726 0.0067021 0.0099147 0.0087129 0.0087468 0.0075548 0.0075730 0.0076088 0.0137385 0.0087051 0.0071705 0.0069028 0.0082156 0.0068172 0.0094785 0.0100959 0.0083264 0.0068247 0.0155111 0.0091518 0.0087552 0.0089768 0.0087323 0.0074561 0.0082275 0.0064543 0.0065166 0.0081279 0.0088555 0.0069290 0.0068368 0.0070247 0.0082320
0.0926576 0.1047313 0.0278232 0.0127418 0.0147188 0.0161121 0.0064004 0.0132864 0.0172251 0.0108813 0.0120441 0.0105452 0.0172220 0.0114820 0.0119242 0.0096376 0.0095678 0.0159408 0.0092474 0.0080964 0.0110464 0.0086997 0.0088994 0.0107850 0.0138466 0.0083494 0.0144621 0.0081531 0.0107527 0.0073050 0.0105170 0.0082119 0.0101485 0.0109019 0.0043913 0.0044252 0.0080065 0.0054144 0.0074219 0.0054970 0.0083043 0.0068362 0.0110267 0.0065143 0.0085205 0.0047282 0.0087515 0.0092022 0.0082541 0.0103190 0.0120478 0.0100613 0.0071018 0.0080606 0.0079834 0.0062308 0.0049474 0.0070757 0.0071809 0.0101460 0.0088948 0.0062679 0.0090308 0.0072610 0.0096892 0.0077548 0.0112642 0.0060626 0.0054318 0.0062413 0.0050741 0.0070424 0.0132337 0.0085306 0.0062672 0.0068800 0.0093033 0.0085767 0.0095926 0.0081782 0.0072120 0.0060239 0.0050957 0.0050135 0.0069524 0.0085407 0.0086153 0.0084508 0.0049590 0.0057458
0.0473427 0.0470392 0.0202513 0.0131343 0.0153681 0.0098547 0.0258608 0.0233272 0.0109019 0.0098333 0.0100568 0.0076482 0.0127575 0.0205831 0.0235508 0.0105396 0.0092574 0.0112651 0.0092280 0.0084014 0.0095427 0.0239943 0.0076635 0.0113944 0.0107994 0.0176227 0.0113559 0.0146770 0.0100616 0.0081067 0.0083910 0.0076170 0.0112933 0.0091221 0.0073662 0.0076853 0.0088303 0.0238900 0.0076231 0.0069952 0.0083742 0.0075585 0.0104139 0.0085395 0.0073517 0.0078777 0.0094958 0.0083351 0.0079067 0.0085304 0.0102673 0.0093419 0.0082449 0.0080552 0.0079832 0.0088292 0.0073085 0.0168316 0.0066858 0.0098850 0.0086867 0.0087231 0.0075365 0.0075546 0.0075899 0.0137052 0.0086751 0.0071531 0.0068860 0.0081956 0.0068007 0.0094555 0.0101792 0.0083006 0.0069288 0.0154734 0.0091270 0.0087309 0.0089498 0.0087060 0.0074353 0.0082075 0.0064386 0.0065007 0.0081077 0.0089522 0.0069117 0.0068202 0.0070076 0.0082120
0.0920041 0.1044895 0.0274862 0.0132153 0.0145647 0.0159675 0.0063447 0.0143089 0.0170527 0.0107669 0.0119140 0.0104588 0.0181812 0.0113788 0.0118114 0.0095394 0.0094834 0.0157508 0.0091686 0.0080209 0.0109317 0.0086071 0.0088169 0.0106843 0.0136808 0.0088439 0.0143093 0.0086489 0.0112175 0.0095595 0.0104217 0.0081350 0.0100503 0.0107845 0.0043553 0.0043889 0.0079318 0.0053638 0.0073610 0.0054519 0.0099728 0.0067802 0.0109146 0.0064550 0.0084507 0.0046895 0.0086672 0.0091172 0.0081768 0.0102223 0.0119084 0.0099540 0.0070344 0.0079853 0.0079020 0.0061798 0.0049069 0.0070088 0.0071221 0.0100381 0.0088035 0.0062073 0.0089568 0.0072015 0.0096040 0.0076852 0.0111430 0.0060130 0.0053873 0.0061902 0.0050326 0.0069758 0.0130780 0.0084419 0.0062159 0.0068118 0.0092031 0.0084938 0.0094892 0.0080924 0.0071433 0.0059745 0.0050539 0.0049725 0.0068924 0.0084554 0.0085447 0.0083816 0.0049184 0.0056988
0.0480617 0.0481010 0.0201798 0.0130589 0.0158488 0.0099093 0.0257267 0.0231917 0.0110528 0.0097679 0.0099821 0.0077212 0.0127683 0.0204734 0.0234259 0.0107052 0.0092045 0.0111666 0.0093007 0.0084718 0.0095966 0.0238645 0.0076146 0.0113266 0.0107104 0.0175256 0.0112745 0.0146017 0.0102286 0.0080651 0.0086925 0.0075696 0.0112287 0.0090538 0.0073283 0.0076458 0.0087850 0.0237673 0.0075826 0.0069593 0.0084513 0.0075197 0.0103429 0.0084931 0.0073126 0.0078373 0.0094401 0.0082802 0.0078565 0.0084760 0.0101861 0.0092804 0.0081960 0.0088401 0.0079353 0.0087839 0.0072710 0.0167452 0.0066515 0.0098193 0.0086288 0.0086717 0.0074978 0.0075158 0.0075496 0.0136348 0.0086072 0.0071164 0.0068507 0.0081535 0.0067658 0.0094070 0.0100915 0.0082432 0.0068919 0.0153939 0.0090735 0.0086778 0.0088903 0.0086477 0.0073902 0.0081654 0.0064055 0.0064674 0.0081848 0.0088983 0.0068749 0.0069053 0.0069716 0.0081698
0.1015704 0.0995087 0.0267806 0.0143887 0.0291930 0.0137511 0.0160496 0.0124475 0.0189676 0.0128166 0.0111860 0.0125943 0.0196702 0.0104021 0.0112445 0.0136473 0.0109378 0.0101649 0.0071636 0.0092005 0.0129248 0.0079149 0.0094308 0.0089614 0.0140130 0.0084011 0.0086622 0.0109305 0.0125944 0.0105041 0.0151572 0.0073683 0.0070535 0.0088386 0.0043461 0.0043841 0.0070399 0.0057817 0.0069381 0.0060196 0.0092477 0.0050170 0.0096755 0.0118626 0.0057950 0.0053570 0.0065990 0.0101575 0.0100164 0.0096496 0.0097514 0.0086520 0.0073596 0.0187132 0.0079003 0.0048602 0.0061348 0.0063017 0.0053962 0.0095360 0.0061436 0.0084636 0.0049139 0.0044618 0.0066193 0.0058418 0.0071177 0.0063656 0.0048309 0.0046943 0.0055702 0.0069453 0.0088377 0.0090777 0.0066889 0.0066629 0.0084140 0.0077013 0.0079806 0.0072787 0.0061615 0.0048481 0.0051530 0.0050234 0.0076248 0.0078213 0.0053777 0.0055454 0.0064220 0.0044809
