time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	
1.000093746958731913e+02 9.553017313674186539e+01 7.934816348006658870e+01 9.509967038289484265e+01 9.532334255344581209e+01
1.030130960015276429e+02 9.451377022142777662e+01 7.377026137622921453e+01 1.010858732635491322e+02 1.211499379527522109e+02
8.803818615772097189e+01 9.808272563202963568e+01 7.400380071440342533e+01 1.110042032577738951e+02 1.050247991038440034e+02
7.862090625085571105e+01 1.055349086064833415e+02 1.149286741766980526e+02 9.120620036634420558e+01 9.015083171853001431e+01
9.815649032645509919e+01 1.044086123734555400e+02 1.046826634695606089e+02 1.211587899209234394e+02 1.243521716647898643e+02
9.716589411244385133e+01 9.380189909445105911e+01 7.783509491956222348e+01 1.032645485875633824e+02 1.042124712350712485e+02
8.941055197626043594e+01 8.610581344518323021e+01 9.004554884601137132e+01 9.213494411863828759e+01 1.077373149570738349e+02
9.305757056326426380e+01 8.148725336881116732e+01 8.394299915482299923e+01 1.025308576108239151e+02 1.012154241951049869e+02
7.391269118323657494e+01 7.971738364457586101e+01 9.619953647248752304e+01 9.572478771602273184e+01 1.059066501452844165e+02
1.057069356982620718e+02 1.109980940380403638e+02 7.829084490717765732e+01 8.212315132101190329e+01 1.179802883550914459e+02
1.002166540536981074e+02 1.064146900077527107e+02 8.387680182435063614e+01 8.382675484178285785e+01 1.197773595090702514e+02
9.958791974946244352e+01 8.966876935030930440e+01 9.236987882668768179e+01 1.358335545055589648e+02 9.543052119231896313e+01
8.738214709656315904e+01 9.484863211913109637e+01 1.037183789576223489e+02 8.889140143266757832e+01 1.114724165735502481e+02
9.285764558161687887e+01 7.939724265719470964e+01 7.871972241191519970e+01 9.511989259000603170e+01 1.233419279521887404e+02
8.270070123639747806e+01 9.730893411798055581e+01 8.574626783023985865e+01 1.114081521096912297e+02 1.187572321673521856e+02
8.388712275741825408e+01 9.207044034705219815e+01 8.795659440128500250e+01 1.086388910095514007e+02 9.550634689149121925e+01
9.102858021528456334e+01 9.463652090652655602e+01 8.863122302276786968e+01 1.055821114771065936e+02 1.068907678192089463e+02
8.045347854016881683e+01 9.337783102837532567e+01 9.179886800956835202e+01 1.029621467614849308e+02 9.321880724057868406e+01
8.301366763182761588e+01 9.972005232921087270e+01 9.274990773093344387e+01 1.026946941337471770e+02 1.088258023701239949e+02
7.801297687819140947e+01 9.912038515792809790e+01 8.430430070532167974e+01 1.016842943068919141e+02 1.021765182364756157e+02
9.095461051469656866e+01 9.865449024273691236e+01 9.718257810329370727e+01 1.066080724053788629e+02 9.008923000978182927e+01
8.432497556966566776e+01 8.781983878926925513e+01 9.247996448487802468e+01 1.128613894850790018e+02 1.084828362874714571e+02
